名字:机器人总动员    分数:9.3    制片国家:美国    上映日期:2008-06-27    导演:安德鲁·斯坦顿    编剧:安德鲁·斯坦顿 / 吉姆·里尔顿 / 彼特·道格特    主演:本·贝尔特 / 艾丽莎·奈特 / 杰夫·格尔林 / 佛莱德·威拉特 / 西格妮·韦弗 / 更多...    类型:/科幻/动画/冒险    评论数::1042897    五星比例:71.3%    四星比例:24.3%    三星比例:4.0%    二星比例:0.2%    一星比例:0.1%    
名字:放牛班的春天    分数:9.3    制片国家:法国 / 瑞士 / 德国    上映日期:2004-10-16    导演:克里斯托夫·巴拉蒂    编剧:乔治·沙普罗 / 勒·惠勒 / 诺埃-诺尔 / 克里斯托夫·巴拉蒂 / 菲利普·洛佩斯-屈瓦尔    主演:热拉尔·朱尼奥 / 弗朗索瓦·贝莱昂 / 凯德·麦拉德 / 让-保罗·博奈雷 / 玛丽·布奈尔 / 更多...    类型:/剧情/音乐    评论数::1026431    五星比例:69.9%    四星比例:26.3%    三星比例:3.6%    二星比例:0.2%    一星比例:0.1%    
名字:大话西游之大圣娶亲    分数:9.2    制片国家:中国香港 / 中国大陆    上映日期:1995-02-04    导演:刘镇伟    编剧:刘镇伟    主演:周星驰 / 吴孟达 / 朱茵 / 蔡少芬 / 蓝洁瑛 / 更多...    类型:/喜剧/爱情/奇幻/古装    评论数::1185720    五星比例:66.8%    四星比例:26.7%    三星比例:5.8%    二星比例:0.5%    一星比例:0.2%    
名字:熔炉    分数:9.3    制片国家:韩国    上映日期:2011-09-22    导演:黄东赫    编剧:黄东赫 / 孔枝泳    主演:孔刘 / 郑有美 / 金贤秀 / 郑仁絮 / 白承焕 / 更多...    类型:/剧情    评论数::725745    五星比例:70.9%    四星比例:25.4%    三星比例:3.4%    二星比例:0.2%    一星比例:0.1%    
名字:疯狂动物城    分数:9.2    制片国家:美国    上映日期:2016-03-04    导演:拜伦·霍华德 / 瑞奇·摩尔 / 杰拉德·布什    编剧:拜伦·霍华德 / 瑞奇·摩尔 / 杰拉德·布什 / 吉姆·里尔顿 / 乔西·特立尼达 / 菲尔·约翰斯顿 / 珍妮弗·李    主演:金妮弗·古德温 / 杰森·贝特曼 / 伊德里斯·艾尔巴 / 珍妮·斯蕾特 / 内特·托伦斯 / 更多...    类型:/喜剧/动画/冒险    评论数::1429907    五星比例:64.6%    四星比例:30.3%    三星比例:4.8%    二星比例:0.2%    一星比例:0.1%    
名字:无间道    分数:9.2    制片国家:中国香港    上映日期:2002-12-12    导演:刘伟强 / 麦兆辉    编剧:麦兆辉 / 庄文强    主演:刘德华 / 梁朝伟 / 黄秋生 / 曾志伟 / 郑秀文 / 更多...    类型:/剧情/悬疑/犯罪    评论数::974187    五星比例:66.6%    四星比例:28.7%    三星比例:4.4%    二星比例:0.2%    一星比例:0.1%    
名字:教父    分数:9.3    制片国家:美国    上映日期:1972-03-15    导演:弗朗西斯·福特·科波拉    编剧:马里奥·普佐 / 弗朗西斯·福特·科波拉    主演:马龙·白兰度 / 阿尔·帕西诺 / 詹姆斯·肯恩 / 理查德·卡斯特尔诺 / 罗伯特·杜瓦尔 / 更多...    类型:/剧情/犯罪    评论数::725017    五星比例:71.1%    四星比例:23.6%    三星比例:4.7%    二星比例:0.4%    一星比例:0.2%    
名字:龙猫    分数:9.2    制片国家:日本    上映日期:2018-12-14    导演:宫崎骏    编剧:宫崎骏    主演:日高法子 / 坂本千夏 / 糸井重里 / 岛本须美 / 北林谷荣 / 更多...    类型:/动画/奇幻/冒险    评论数::989574    五星比例:64.9%    四星比例:29.1%    三星比例:5.7%    二星比例:0.3%    一星比例:0.1%    
名字:当幸福来敲门    分数:9.1    制片国家:美国    上映日期:2008-01-17    导演:加布里埃莱·穆奇诺    编剧:斯蒂夫·康拉德    主演:威尔·史密斯 / 贾登·史密斯 / 坦迪·牛顿 / 布莱恩·豪威 / 詹姆斯·凯伦 / 更多...    类型:/剧情/家庭/传记    评论数::1190660    五星比例:63.4%    四星比例:30.3%    三星比例:5.8%    二星比例:0.3%    一星比例:0.1%    
名字:怦然心动    分数:9.1    制片国家:美国    上映日期:2010-07-26    导演:罗伯·莱纳    编剧:罗伯·莱纳 / 安德鲁·沙因曼 / 文德琳·范·德拉安南    主演:玛德琳·卡罗尔 / 卡兰·麦克奥利菲 / 瑞贝卡·德·莫妮 / 安东尼·爱德华兹 / 约翰·马奥尼 / 更多...    类型:/剧情/喜剧/爱情    评论数::1391464    五星比例:61.5%    四星比例:31.3%    三星比例:6.7%    二星比例:0.4%    一星比例:0.1%    
